,State,Year,NOR(I),NOE(I),NOR(O),NOE(O)
215,RI,2009,11474.0,19234.0,13576.0,23062.0
216,KS,2009,35765.0,74019.0,36672.0,72949.0
217,ME,2009,12163.0,20614.0,14364.0,24067.0
218,DC,2009,27501.0,36647.0,22606.0,34840.0
219,AR,2009,29135.0,60023.0,26682.0,53867.0
220,TN,2009,70156.0,139051.0,64116.0,127939.0
221,FL,2009,215654.0,389429.0,196942.0,359082.0
222,HI,2009,22584.0,43149.0,22486.0,45824.0
223,NV,2009,44554.0,82221.0,47379.0,91828.0
224,MN,2009,37306.0,65248.0,44215.0,76801.0
225,KY,2009,41758.0,84398.0,38145.0,76056.0
226,VA,2009,113099.0,214761.0,102827.0,194590.0
227,UT,2009,27868.0,59723.0,27234.0,60982.0
228,NJ,2009,73241.0,130143.0,87630.0,151111.0
229,TX,2009,204851.0,421684.0,163893.0,328137.0
230,GA,2009,108970.0,213755.0,103620.0,208830.0
231,MA,2009,59534.0,92194.0,63208.0,99867.0
232,WA,2009,77278.0,147288.0,72538.0,136914.0
233,VT,2009,8473.0,13204.0,8896.0,13757.0
234,WV,2009,17735.0,33674.0,15575.0,28488.0
235,NC,2009,110205.0,214666.0,95945.0,189458.0
236,MS,2009,27016.0,55079.0,27848.0,56817.0
237,ID,2009,19947.0,41624.0,20287.0,41987.0
238,OH,2009,67259.0,124356.0,86406.0,155393.0
239,AK,2009,15820.0,31007.0,13864.0,27727.0
240,AZ,2009,82371.0,155609.0,75362.0,147538.0
241,IA,2009,28762.0,54768.0,29173.0,53087.0
242,LA,2009,41264.0,82024.0,35473.0,70282.0
243,NY,2009,138660.0,219994.0,168682.0,287828.0
244,CA,2009,204727.0,365763.0,218531.0,406883.0
245,AL,2009,41700.0,87143.0,39098.0,78900.0
246,MT,2009,13819.0,24485.0,13161.0,23374.0
247,ND,2009,10937.0,19524.0,9454.0,16866.0
248,WI,2009,37112.0,67527.0,43781.0,77230.0
249,CT,2009,31561.0,54324.0,37226.0,62180.0
250,PA,2009,90853.0,160974.0,95645.0,163783.0
251,SC,2009,55876.0,108431.0,48149.0,92537.0
252,NM,2009,28793.0,57568.0,25303.0,50365.0
253,IN,2009,50184.0,97655.0,54575.0,103840.0
254,OR,2009,44892.0,78364.0,41180.0,74673.0
255,PA,2008,102746,182463,105094,179650
256,IA,2008,33635,62363,32492,58382
257,SD,2008,12401,22891,11404,20699
258,ND,2008,11114,19562,10139,18549
259,IN,2008,57090,108779,60179,113651
260,WV,2008,19053,36597,16975,31137
261,NM,2008,31204,62937,28597,56572
262,UT,2008,32582,69646,29418,65239
263,CA,2008,243360,418422,252516,476641
264,IL,2008,109671,185880,118378,213844
265,NH,2008,19230,32081,21259,34401
266,CT,2008,36310,62186,41322,70121
267,CO,2008,84352,154449,67974,126919
268,NJ,2008,81857,143574,95476,167526
269,MA,2008,72472,109606,68694,109127
270,TN,2008,77078,149961,66981,130790
271,WY,2008,14879,28685,11958,22263
272,ID,2008,22771,47063,22551,45928
273,AL,2008,47239,97426,41982,84662
274,OK,2008,44143,91437,36737,74087
275,TX,2008,238360,486359,172577,346790
276,MO,2008,63224,119323,62163,116593
277,MI,2008,58832,103378,89694,162791
278,HI,2008,25358,48402,26792,53047
279,MN,2008,44647,76770,48153,82907
280,DE,2008,14098,25659,12939,23429
281,RI,2008,12510,20970,15545,26598
282,WA,2008,94340,177533,78699,147013
283,FL,2008,222185,401077,232060,425359
284,LA,2008,44934,87555,38355,76353
285,AZ,2008,93472,174730,85291,168256
286,OR,2008,52479,90496,44736,80782
287,KS,2008,39467,79423,40170,79610
288,MT,2008,15649,28467,14806,26486
289,WI,2008,43207,78418,48108,83644
290,MD,2008,76447,134150,78735,141405
291,AR,2008,32006,65116,28897,58510
292,VT,2008,9294,14620,10113,15548
293,NC,2008,130911,253855,104701,206818
294,VA,2008,127737,240535,116479,222379
295,NE,2008,21176,41148,21524,41083
296,KY,2008,43669,86445,40115,78486
297,AK,2008,16202,32284,15971,31971
298,SC,2008,64336,124433,51496,98767
299,ME,2008,13524,23281,15617,25947
300,NY,2008,167221,260077,188768,325113
301,DC,2008,27979,37016,23009,34992
302,MS,2008,29669,60771,30573,61158
303,NV,2008,52333,96624,52522,100145
304,OH,2008,77406,142033,95439,169926
305,GA,2008,151927,271339,109994,222039
306,CT,1997,63308.0,2097461.0,76690.0,2622860.0
307,UT,1997,55855.0,883925.0,59091.0,975008.0
308,ME,1997,25557.0,501417.0,25866.0,464961.0
309,AZ,1997,181831.0,3819748.0,133433.0,2329818.0
310,IN,1997,112012.0,1964768.0,114698.0,2258818.0
311,DE,1997,24553.0,541794.0,21971.0,549535.0
312,VA,1997,206891.0,4303326.0,203551.0,4416282.0
313,ND,1997,16429.0,228679.0,21958.0,325025.0
314,ID,1997,44548.0,704441.0,39267.0,537798.0
315,SD,1997,19638.0,317177.0,23282.0,346564.0
316,NH,1997,40863.0,1017767.0,35337.0,836028.0
317,NV,1997,104417.0,2294950.0,66599.0,1207865.0
318,AK,1997,25961.0,391959.0,29092.0,487510.0
319,KY,1997,86971.0,1371523.0,81645.0,1427723.0
320,TX,1997,386187.0,7543607.0,332812.0,6340975.0
321,SC,1997,108417.0,2094925.0,85122.0,1415681.0
322,CA,1997,379612.0,8873247.0,449591.0,9265457.0
323,LA,1997,72325.0,1127531.0,85824.0,1407607.0
324,AR,1997,63753.0,923130.0,61391.0,875214.0
325,OR,1997,92290.0,1715675.0,80697.0,1479616.0
326,CO,1997,154775.0,3336206.0,125471.0,2502996.0
327,MS,1997,62202.0,898470.0,59824.0,838453.0
328,NC,1997,228159.0,4390245.0,176009.0,3136013.0
329,OH,1997,151858.0,3023884.0,180854.0,4058631.0
330,WV,1997,35213.0,521768.0,37359.0,570704.0
331,NY,1997,182005.0,4713355.0,325884.0,8235769.0
332,IA,1997,55600.0,923999.0,62291.0,1143831.0
333,DC,1997,28764.0,694233.0,39496.0,948697.0
334,MO,1997,120607.0,2109641.0,119194.0,2454484.0
335,NM,1997,59825.0,908879.0,66012.0,1005805.0
336,KS,1997,79797.0,1409736.0,78005.0,1454821.0
337,MA,1997,101173.0,2784886.0,110903.0,3130065.0
338,AL,1997,92546.0,1511533.0,85299.0,1437143.0
339,MN,1997,82583.0,1638311.0,82195.0,1967730.0
340,GA,1997,237165.0,4577739.0,181039.0,3638078.0
341,WY,1997,20275.0,387960.0,22465.0,330140.0
342,HI,1997,36580.0,553035.0,49520.0,734462.0
343,WI,1997,80313.0,1548234.0,82670.0,1852299.0
344,OK,1997,85352.0,1175355.0,82480.0,1268139.0
345,MD,1997,125677.0,2697411.0,132269.0,3220647.0
346,VT,1997,15041.0,318129.0,15780.0,307970.0
347,MT,1997,26626.0,453952.0,28751.0,402632.0
348,IL,1997,172687.0,3944832.0,233970.0,5888893.0
349,NJ,1997,137577.0,3827307.0,164746.0,4877565.0
350,TN,1997,146676.0,2547726.0,126677.0,2204501.0
351,WA,1997,156344.0,3160481.0,139333.0,2532691.0
352,PA,1997,156936.0,3625877.0,184195.0,4370752.0
353,MI,1997,115382.0,2298919.0,135192.0,2981722.0
354,RI,1997,20240.0,453500.0,23281.0,508354.0
355,NE,1997,40310.0,648993.0,46392.0,844131.0
356,FL,1997,Inflow,442902.0,10880178.0,
357,IA,2007,33814,63330,32342,58497
358,UT,2007,34772,76685,28675,62974
359,WV,2007,19538,37819,18247,33340
360,OR,2007,55733,97601,45005,80751
361,ID,2007,25708,53219,21872,44275
362,ND,2007,10170,18029,10260,18260
363,LA,2007,46375,92405,41388,82317
364,MA,2007,73171,111219,76959,123193
365,HI,2007,26452,48734,25806,51114
366,MT,2007,16945,31352,14873,26189
367,SC,2007,71413,139431,50931,97411
368,AL,2007,49164,101331,42812,85864
369,FL,2007,242705,436484,246296,452746
370,DE,2007,15603,28565,13657,24597
371,NH,2007,21167,35456,22314,36340
372,KS,2007,39866,80017,40339,78390
373,ME,2007,15124,26210,15836,26225
374,SD,2007,12588,23202,11551,20785
375,TN,2007,83157,164984,70196,137842
376,KY,2007,46464,91856,42040,82727
377,MD,2007,78349,136546,86516,157178
378,AR,2007,33186,68066,29933,60775
379,IN,2007,61045,117927,62389,116700
380,NJ,2007,84560,147515,103845,185939
381,CA,2007,251841,426523,271521,523042
382,WI,2007,45283,83432,50092,87124
383,WA,2007,96640,180793,78611,147273
384,AZ,2007,104049,195871,83750,160840
385,NC,2007,144936,285159,103941,200257
386,NE,2007,20743,40612,22410,42737
387,AK,2007,15439,29919,16288,32932
388,NM,2007,30638,60296,30008,58564
389,DC,2007,27102,35808,25271,38989
390,PA,2007,107183,192608,112655,194015
391,MI,2007,60408,107522,97778,179649
392,GA,2007,147734,280520,110175,220209
393,CT,2007,38072,66078,44230,76197
394,WY,2007,14108,27342,12186,22631
